ツイートID,ツイート時刻,配信前ツイート本文,ぽえーむ
1623608745002676225,2023-02-09_18:04:24,"このあと20時からは🌟

🧙‍♀️ ホグワーツ・レガシー 🧙‍♀️

無事スリザリン生になったぺこーら

元気に窓を拭いたり
チクりをして点数を稼ぐぺこ‼️

今日は守護霊とかも分かるのかなぁ☺️
楽しみじゃ！！！！！！！！

▽待機所▽
https://t.co/ubcnkdkSqe https://t.co/EFFxswhEiY","すみません！！！！！
勝手がわからず、アバタケタブラ、インペリオ、クルーシオを連発してしまいした…。
今日からは心を入れ替え、ボランティアに励み少しでも魔法の世界に貢献できるように変わります！！！！
呪文も変えました！
ペトリフィカストタルス！からのレダクト！！！！！！！！！！！！ https://t.co/psCK93ZBJL"
1623277410149109762,2023-02-08_20:07:48,"このあと21時からは🌟

⚔ Dark and Darker ⚔

ソロでちょいと練習してきたよー💪
ローグのレベル20になったぺこ！

レア武器GETしたい！
プレイヤー倒してﾆﾁｬﾆﾁｬしたい！

今日も元気にダンジョン潜りぺこ😋

▽待機所▽
https://t.co/tfZ2mmFcyS https://t.co/LWWbe37rrX","チームが強いのはわかる。けどね、ソロだって動きやすいし、宝すべて総取りだしかえるポータル1個で済むし！ソロ最高なところをみしてやるぺこ！！！！！
あ・・・チームのやつに凹されたら仲間募集します。
対ヨロ！！！！！！！！！！！！！！ https://t.co/5qT0M2orwH"
1622904378431791104,2023-02-07_19:25:30,"このあと21時からは🌟

🧙‍♀️ ホグワーツ・レガシー 🧙‍♀️

ハリポタのゲームきｔらああああああああああああああああああああああああああ！！！！！！！

どの寮になるかな☺️
どんな杖になるかな☺️

魔法の世界にいざ入学ぺこ💖ｸﾙｰｼｵ!!

▽待機所▽
https://t.co/cfsPMtNKej https://t.co/bie3TS9XfY","ぺこーらついに魔法の世界に行ってきます！
今回、みんなに言っておきたいことがある。
やっぱり許されざる呪文は使っちゃダメだと思う。だって禁じられてるんだよ？
それを人にやるのはどうかと思う！
インペリオ！クルーシオ！アバダケダブラあああああああああああああああああああああああああ！ https://t.co/fJ8nGpq91B"
1622505374283894786,2023-02-06_17:00:00,"このあと21時からは🌟

⚔ Dark and Darker ⚔

今日は話題のゲームを
PEBOTが初見でやってみるぺこ✨✨

４んだら装備を失う…
けどプレイヤーを倒せば相手の装備を奪える！
楽しそうぺこだな☺️

▽待機所▽
https://t.co/eDZrgD1Yl1 https://t.co/4yWlbQTlHu",たいへんおそくなりました！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！勝負しろ！！！！！！！！！！！！！！！！！！！！！ https://t.co/KpsJsVZmqU
1622178181716516864,2023-02-05_19:19:51,"このあと21時からは🌟

🥉 Minecraft/マイクラ 🥉

ついにペコチャン城を作るぺこ❣

なにやら銅の寄付がたくさんあった予感…！
ありがてぇ😭✨

今日もたのしくマイクラ遊ぼう～✌️

▽待機所▽
https://t.co/S5fy9uO2ys https://t.co/ZAvM0fG0XY","皆さん！寄付ありがとうございます！！！！！
皆さんのおかげでより良いぺこら城ができそうです！！！！
銅を使って建築…
いいぺこですねえ。このぺこら城はぺこら1人で作ったわけじゃない、いろいろな人の汗水流してもらって集まった銅！感動！コマンドー！いくどー！
始めましょう・・・！ https://t.co/Q2MR2Oby23"
1621851643859066881,2023-02-04_21:42:19,"このあと22時から🌟

🎤ヒトカラ/The Karaoke🎤

すんまへん！！直りました！！！

22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！

チラズアートさん新作やるぺこ‼️

▽待機所▽
https://t.co/050wWAoM5L https://t.co/RMoGcXPs5O","みんなでカラオケするのも好きだけどやっぱりストレス発散は一人で好きに歌うことだよね？
最近のはやりのおばいどーず君と二人やるせない日々解像度の悪い夢を見た～とか歌いたいよね？？
ドリンクは飲み放題で頼んだから今日はたっくさん歌うぺこだぞおおお！！！！
みんなもついてこれるかい！ https://t.co/5uRrVtqZ1N"
1621807436956078081,2023-02-04_18:46:39,"このあと21時からは🌟

🎤ヒトカラ/The Karaoke🎤

みんな大好きチラズアート最新作！

今日は恐ろしいカラオケに1人で来てみましたぺこ👊
よーし！いっぱい歌うぞー！

あれ…なんかおかし…
うわああああああああああああああああああああああああ‼️‼️‼️‼️‼️‼️

▽待機所▽
https://t.co/D0l7UT8yrt https://t.co/6zVjTWlgEQ",
1621467556564574208,2023-02-03_20:16:05,"このあと21時からは🌟

😃Happy Game/ハッピーゲーム😃

幸せのゲームって書いてあるけど
ほんとに幸せなの？

いや、見るからに地獄…‼️

switchにあるヤバそうなゲーム
みんなでやってみよおおおおおおお🤞

▽待機所▽
https://t.co/hBzzl4M8nT https://t.co/Ve4xhML5Qs",
1621040724719599616,2023-02-02_16:00:00,"このあと21時からは🌟

⛏ Minecraft/マイクラ ⛏

久しぶりのPEBOT～！
そしてホロ鯖マイクラ～！

今日は3人で行きたいところがあるぺこ☺️☀️

▽待機所▽
https://t.co/XLi6Wk91Px https://t.co/URdFVKhviJ",
1620371880434876416,2023-01-31_19:42:16,"このあと21時からは🌟

⛏ Minecraft/マイクラ ⛏

今日は装備を強化し！
ぺこちゃんタワーのてっぺんに
最強最カワな拠点を作るぺこ✨

完成図はもう頭の中じゃ😉

まぁ見ててよ！！！！！！！！

▽待機所▽
https://t.co/POJX7r5ODH https://t.co/r9RrpnXfZe",
