ツイートID,ツイートされた時間(日本時間),配信前ツイート,ぽえーむ
1625777902578196485,2023-02-15_17:43:52,"このあと２０時から🌟

🧙‍♀️ ホグワーツ・レガシー 🧙‍♀️

ついに闇の魔術を覚えたウサーペッコー
残るはあと２つ…ｷｨﾋﾋﾋ

今日も楽しくハリポタの世界へ！
みんなでせーのｸﾙｰｼｵ🪄〰〰💥

▽待機所▽
https://t.co/onajZS2Rd1 https://t.co/Zw5Xo5zRTx","友達の家族に遊び感覚でクルーシオをマグルにかけて遊んでいる魔法使いたちがいたなんて
なんか楽しそう。ぺこーらもかけてみたいなあ…
クルーシオ以外も覚えてから遊び感覚でやりたいな！
あ、あそこにまぐる一人いる
よクルーシオし遠いけどきっと当たるだろう

みんなも一緒にね？せーのクルーシオ "
1625433912007884801,2023-02-14_18:56:58,"このあと22時からは🌟

🍫 ぺこら新髪型お披露目 🍫

３期生リレーで新髪型お披露目をしてゆく！
どんな髪型になるぺこかな😊ﾜｸﾜｸ

※同調圧力に負けたサムネになってます
＃3期生バレンタインリレー

▽待機所▽
https://t.co/RqA4eYlNM8 https://t.co/qiJEV3CzjJ","ハッピーバレンタイン！！！
みんなはチョコもらった？もらってない人はぺこーらの配信にきたら1個必ずプレゼント！
しかも、今日は新しい髪形お披露目しちゃうよ！
似合ってるかな～んーみんなにきいてみよ！！！！
まずは予想をみんなでみるぺこ！！！！！！ "
1625096680717844480,2023-02-13_20:36:56,"このあと22時からは🌟

💣 Minecraft/マイクラ 💣

本日2回目の配信はマイクラ🫶

近々ホロ鯖でコラボがあるので準備していこうと思うぺこ！！！！！！！！

ぺーこぺこぺこ❣️

▽待機所▽
https://t.co/2ShGjYmt9P https://t.co/BxXlswOQj7","私はそれでもやっていない。
どうしてアズカバン行きなんだ！許せない。
まだ未遂だというのみ。日頃の行いが悪いって言われるけど実際悪いことそんなしてない。
もう怒った！！！！そんなに行いが悪いなら暴れてやるよ！！！！
無敵のぺこーらを思い知るがいいぺーこぺこぺこぺこ！！！！！！！！！！ "
1625058445845229570,2023-02-13_18:05:00,"このあと20時からは🌟

🍫 どんぐりからチョコ作る 🍫

とある動画を見てから
ずっとやりたかったヤツ‼️

どんぐりからチョコを作る…？
そんなことが…できるんです！！！

バレンタインに向けてみんなにチョコ作りするぺこ💖

▽待機所▽
https://t.co/DU5LjGTxXV https://t.co/FM4bOiG55X","どんぐりころころどんぶりこ～
どんぐりって結構道端に落ちてるけど大人になるとあんまり興味わかないよね。
そんな人必見！
もうチョコを使うのは遅い！
時代はどんぐり！無料で手に入るどんぐりを使って大好きなあの人へアタック！
これで彼もイチコロ☆ "
1624558906088296449,2023-02-12_09:00:00,"このあと13時からは🌟

🧙‍♀️ ホグワーツ・レガシー 🧙‍♀️

ホウキも手に入り
偉大な魔法使いに近づいているぺこーら

今日も新しい呪文覚えたり
新しい授業受けたい！！！！！！！

お昼の楽しい魔法生活やるぺこ😊

▽待機所▽
https://t.co/f3Z5RXZZPr https://t.co/Wn3nvpShVs","素敵なお師匠がいてそして学友ができ、魔法生活も充実している…
している？本当にそうなのだろうか。
この現状に満足しているって本当に思っている？
まだだよね、足りないよね。そう、刺激が。
こんなんじゃ生ぬるいよ。
はやく知りたい、早く使いたい。
ねえいつになったら使えるの？ "
1624339961309810693,2023-02-11_18:30:00,"このあと22時からは🌟

🧙‍♀️ ホグワーツ・レガシー 🧙‍♀️

闇の魔術への手がかりが掴めたぺこな…
覚える日も近い…ｸｸｸ…

今日は新しいこともできるかな☺️
ハリポタの世界楽しむぞー‼️

▽待機所▽
https://t.co/MaRR3zjFJS https://t.co/q4w393bYqz","やめられない。止まらない。
この衝動はだれにも…
ずっと昔から抱えていた私の問題。誰にも言えなかった秘密。
けど、もう無理だよ、我慢できない。自分を制御することができないよ…
だれか私を止めて…闇に染まっちゃう…
アバタ… "
1624321941485281280,2023-02-11_17:18:23,"このあと19時からは🌟

▶ Holocure/ホロキュア ▶

アップデートきｔらあああああああああああああああああああああああああああああ！！！！！！！！！

1期生と2期生が追加ぺこ✨✨
お金もばっちり貯めてきました😊

今日は新キャラ使って新ステージ攻略ぺこ‼️

▽待機所▽
https://t.co/eHcjqsh7aj https://t.co/rZYQgk9SmO","きｔらきｔらきｔらあああああああああああああああああ！！！！！！！
ホロキュアついにアップデート！
マイクラの建設マークもアイテムであるみたいぺこだし新しいキャラクター1期生、2期生！
どの子使おうかな～
強い子だれぺこですか？
まぁ、どの子でもクリアしちゃうぺこなんですけどね☆ "
1623608745002676225,2023-02-09_18:04:24,"このあと20時からは🌟

🧙‍♀️ ホグワーツ・レガシー 🧙‍♀️

無事スリザリン生になったぺこーら

元気に窓を拭いたり
チクりをして点数を稼ぐぺこ‼️

今日は守護霊とかも分かるのかなぁ☺️
楽しみじゃ！！！！！！！！

▽待機所▽
https://t.co/ubcnkdkSqe https://t.co/EFFxswhEiY","すみません！！！！！
勝手がわからず、アバタケタブラ、インペリオ、クルーシオを連発してしまいした…。
今日からは心を入れ替え、ボランティアに励み少しでも魔法の世界に貢献できるように変わります！！！！
呪文も変えました！
ペトリフィカストタルス！からのレダクト！！！！！！！！！！！！ "
1623277410149109762,2023-02-08_20:07:48,"このあと21時からは🌟

⚔ Dark and Darker ⚔

ソロでちょいと練習してきたよー💪
ローグのレベル20になったぺこ！

レア武器GETしたい！
プレイヤー倒してﾆﾁｬﾆﾁｬしたい！

今日も元気にダンジョン潜りぺこ😋

▽待機所▽
https://t.co/tfZ2mmFcyS https://t.co/LWWbe37rrX","チームが強いのはわかる。けどね、ソロだって動きやすいし、宝すべて総取りだしかえるポータル1個で済むし！ソロ最高なところをみしてやるぺこ！！！！！
あ・・・チームのやつに凹されたら仲間募集します。
対ヨロ！！！！！！！！！！！！！！ "
1622904378431791104,2023-02-07_19:25:30,"このあと21時からは🌟

🧙‍♀️ ホグワーツ・レガシー 🧙‍♀️

ハリポタのゲームきｔらああああああああああああああああああああああああああ！！！！！！！

どの寮になるかな☺️
どんな杖になるかな☺️

魔法の世界にいざ入学ぺこ💖ｸﾙｰｼｵ!!

▽待機所▽
https://t.co/cfsPMtNKej https://t.co/bie3TS9XfY","ぺこーらついに魔法の世界に行ってきます！
今回、みんなに言っておきたいことがある。
やっぱり許されざる呪文は使っちゃダメだと思う。だって禁じられてるんだよ？
それを人にやるのはどうかと思う！
インペリオ！クルーシオ！アバダケダブラあああああああああああああああああああああああああ！ "
1622505374283894786,2023-02-06_17:00:00,"このあと21時からは🌟

⚔ Dark and Darker ⚔

今日は話題のゲームを
PEBOTが初見でやってみるぺこ✨✨

４んだら装備を失う…
けどプレイヤーを倒せば相手の装備を奪える！
楽しそうぺこだな☺️

▽待機所▽
https://t.co/eDZrgD1Yl1 https://t.co/4yWlbQTlHu",たいへんおそくなりました！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！勝負しろ！！！！！！！！！！！！！！！！！！！！！ 
1622178181716516864,2023-02-05_19:19:51,"このあと21時からは🌟

🥉 Minecraft/マイクラ 🥉

ついにペコチャン城を作るぺこ❣

なにやら銅の寄付がたくさんあった予感…！
ありがてぇ😭✨

今日もたのしくマイクラ遊ぼう～✌️

▽待機所▽
https://t.co/S5fy9uO2ys https://t.co/ZAvM0fG0XY","皆さん！寄付ありがとうございます！！！！！
皆さんのおかげでより良いぺこら城ができそうです！！！！
銅を使って建築…
いいぺこですねえ。このぺこら城はぺこら1人で作ったわけじゃない、いろいろな人の汗水流してもらって集まった銅！感動！コマンドー！いくどー！
始めましょう・・・！ "
1621851643859066881,2023-02-04_21:42:19,"このあと22時から🌟

🎤ヒトカラ/The Karaoke🎤

すんまへん！！直りました！！！

22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！22時から！

チラズアートさん新作やるぺこ‼️

▽待機所▽
https://t.co/050wWAoM5L https://t.co/RMoGcXPs5O","みんなでカラオケするのも好きだけどやっぱりストレス発散は一人で好きに歌うことだよね？
最近のはやりのおばいどーず君と二人やるせない日々解像度の悪い夢を見た～とか歌いたいよね？？
ドリンクは飲み放題で頼んだから今日はたっくさん歌うぺこだぞおおお！！！！
みんなもついてこれるかい！ "
1621807436956078081,2023-02-04_18:46:39,"このあと21時からは🌟

🎤ヒトカラ/The Karaoke🎤

みんな大好きチラズアート最新作！

今日は恐ろしいカラオケに1人で来てみましたぺこ👊
よーし！いっぱい歌うぞー！

あれ…なんかおかし…
うわああああああああああああああああああああああああ‼️‼️‼️‼️‼️‼️

▽待機所▽
https://t.co/D0l7UT8yrt https://t.co/6zVjTWlgEQ",
