ツイートID,ツイート時刻,ツイート本文,いいね数,リツイート数,ID,ユーザー名,アカウント名,アイコン画像URL,ヘッダー画像URL
1623450106052722693,2023-02-09_07:34:02,"これは予約ツイートです
みこは今過去に居ます_(ˆ. ̫ . ˆ_)",12005,658,979891380616019968,sakuramiko35,さくらみこ🌸2/13~鳴門鯛焼本舗コラボ開始🎉,http://pbs.twimg.com/profile_images/1617957881873321985/cdKGLqDC_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png
1621506678628954114,2023-02-03_22:51:32,"収録おわたああああ😭🙏
かなり押してしまったにぇ…( ･⌓･̥̥̥  )

明日も仕事伸びちゃうかもなので
今週の同時視聴はお休みにします！
みんなすまぬ…

ﾊﾞﾀﾘ...c⌒⊃+ω+)⊃",7564,757,979891380616019968,sakuramiko35,さくらみこ🌸2/13~鳴門鯛焼本舗コラボ開始🎉,http://pbs.twimg.com/profile_images/1617957881873321985/cdKGLqDC_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png
1621512314355863553,2023-02-03_23:13:56,"１１月２３日（いいおにいさん）まで
　さらばだよ・・・またね・・・・・
🛸🤵‍♂️😭🤵‍♂️🛸
by みこにいさん
#ぽるかの兄探し",7797,818,979891380616019968,sakuramiko35,さくらみこ🌸2/13~鳴門鯛焼本舗コラボ開始🎉,http://pbs.twimg.com/profile_images/1617957881873321985/cdKGLqDC_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png
1623450106052722693,2023-02-09_07:34:02,"これは予約ツイートです
みこは今過去に居ます_(ˆ. ̫ . ˆ_)",12005,658,979891380616019968,sakuramiko35,さくらみこ🌸2/13~鳴門鯛焼本舗コラボ開始🎉,http://pbs.twimg.com/profile_images/1617957881873321985/cdKGLqDC_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png
1622606442795778056,2023-02-06_23:41:37,"きょうもたのちかった！！！！！！！
参加してくれたみんなも
ありがとおおおおおおお_(ˆ. ̫ . ˆ_)🔥✨

#みこなま",5989,566,979891380616019968,sakuramiko35,さくらみこ🌸2/13~鳴門鯛焼本舗コラボ開始🎉,http://pbs.twimg.com/profile_images/1617957881873321985/cdKGLqDC_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png
1622551855422398466,2023-02-06_20:04:42,"爆睡していた( ╹ᗜ╹)‼️⁉️
２１時からやる！！！！！！⚔",7507,697,979891380616019968,sakuramiko35,さくらみこ🌸2/13~鳴門鯛焼本舗コラボ開始🎉,http://pbs.twimg.com/profile_images/1617957881873321985/cdKGLqDC_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png
1621512314355863553,2023-02-03_23:13:56,"１１月２３日（いいおにいさん）まで
　さらばだよ・・・またね・・・・・
🛸🤵‍♂️😭🤵‍♂️🛸
by みこにいさん
#ぽるかの兄探し",7797,818,979891380616019968,sakuramiko35,さくらみこ🌸2/13~鳴門鯛焼本舗コラボ開始🎉,http://pbs.twimg.com/profile_images/1617957881873321985/cdKGLqDC_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png
1621506678628954114,2023-02-03_22:51:32,"収録おわたああああ😭🙏
かなり押してしまったにぇ…( ･⌓･̥̥̥  )

明日も仕事伸びちゃうかもなので
今週の同時視聴はお休みにします！
みんなすまぬ…

ﾊﾞﾀﾘ...c⌒⊃+ω+)⊃",7564,757,979891380616019968,sakuramiko35,さくらみこ🌸2/13~鳴門鯛焼本舗コラボ開始🎉,http://pbs.twimg.com/profile_images/1617957881873321985/cdKGLqDC_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png
1621427916105211906,2023-02-03_17:38:34,"休憩なう( ๑ ㆆᴗㆆ)
のこりの収録もがんばるどお‼️

マネちゃんと恵方巻き
たべました👹🌸",7973,676,979891380616019968,sakuramiko35,さくらみこ🌸2/13~鳴門鯛焼本舗コラボ開始🎉,http://pbs.twimg.com/profile_images/1617957881873321985/cdKGLqDC_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png
1621208789964972033,2023-02-03_03:07:50,"おなかいっぱいや…😮‍💨🍲
みんなおやすみこおお！！！！
また明日にぇ₍₍ ꒰ঌ(　-᷄ ᴗ -᷅ )໒꒱ ₎₎",7606,570,979891380616019968,sakuramiko35,さくらみこ🌸2/13~鳴門鯛焼本舗コラボ開始🎉,http://pbs.twimg.com/profile_images/1617957881873321985/cdKGLqDC_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png
