ツイートID,ツイートされた時間(日本時間),ツイートの内容,いいねの数,リツイートの数
1623655491997155328,2023-02-09_21:10:10,"はじまるにぇ！！！！！！！！！
あらたな授業！！！！！！！！！！
みこは舐められないようにがんばります！！！！！ https://t.co/Tkf8mx4jzF",3398,654
1623641668674293760,2023-02-09_20:15:14,"🧙‍♀️このあと２１時からは🧙‍♀️

/／
🪄ホグワーツレガシー🦉#2
\＼

野心あふれるスリザリン生となった今、
やることは一つ！！！

そう、いじめられねぇように
立ち回り成り上がる事にぇ！！！🪄🔥

まだまだ冒険ははじま… https://t.co/uE2rb61YhK",5145,903
1623450106052722693,2023-02-09_07:34:02,"これは予約ツイートです
みこは今過去に居ます_(ˆ. ̫ . ˆ_)",12049,659
1623379517493624832,2023-02-09_02:53:32,"ホグワーツレガシー楽しすぎたにぇ！
はやく飛び回りたいぜぇ〜_(ˆ. ̫ . ˆ_)🪄
インセンディオ！！！！🪄🔥🔥🔥
おやすみこ_(ˆ. ̫ . ˆ_)🔥🔥🔥 https://t.co/x7nhaX3UZk",8491,687
1623293134196326400,2023-02-08_21:10:17,"さぁ、魔法の世界へれっつごおおおおおお！
みこはどの寮になるのか？とてもたのしみ！
最強の魔法使いに、みこ・・なります！！！！ https://t.co/eOYDUmRZaK",4769,868
1623233822455382017,2023-02-08_17:14:36,"🧙‍♀️このあと２１時からは🧙‍♀️

/／
🪄ホグワーツレガシー🦉
\＼

たのしみにしてたホグワーツレガシー‼✨
ついに魔法の世界へいくぞおおおおお🧙‍♀️🔥

どの寮になるのかな？？？
みこは最強の魔法使いになれるでしょうか… https://t.co/IfI2qSFyE4",9542,1590
1623231151841374208,2023-02-08_17:03:59,へへへ・・・・へへ・・・へへへ･･･🪄🦉 https://t.co/Ak0PT23Vjv,11148,1041
1623195146807554049,2023-02-08_14:40:55,"新しい宣材写真もこの機にお披露目🎉
公式HPも変わってるのでチェック🐱🌸
https://t.co/uhax3lOaDR",4459,694
1623194783983484928,2023-02-08_14:39:28,"🌸🌸🌸 お知らせ 🌸🌸🌸

/／
東京観光大使に
　　就任しました‼
\＼

エリート巫女さくらみこ、この度
✨東京観光大使✨に就任しました！

東京の魅力をたくさん広められるように
活動頑張っていきます！⛩🎉🌸… https://t.co/iqCFOOpqX0",28851,5958
1623023387080593434,2023-02-08_03:18:24,"マリオ３クリアしたにぇ‼️👑
みんなありがとおおお‼️🎉🎉🎉
かなり沼リオでしたが
たのちがっだあああああ‼️🍄

次はマリオワールドやるにぇ😎✨ https://t.co/WFjnVIa2JA",8888,1136
1622915573566021632,2023-02-07_20:09:59,"みこたちのマリオ３・・・
ついにクリアまで耐久だにぇ！！！！！！！
沼リオだけど、きっと覚醒するはず。
追いこめ、己を・・・がんばれ、マリオ！！！！！ https://t.co/a8S4cnwEZl",4499,801
1622879105539768320,2023-02-07_17:45:05,"🍄このあと２０時からは🍄

/／
完全初見で挑む騒がしいクリア耐久‼🔥
FCスーパーマリオブラザーズ３🔥
\＼

クリアまで駆け抜けるにぇぇぇぇ‼

みこの沼リオは可能性の獣なんだァァアア‼🔥

ワールド７のボスを倒して
ワールド… https://t.co/YRdlkr0chV",6884,1151
1622606442795778056,2023-02-06_23:41:37,"きょうもたのちかった！！！！！！！
参加してくれたみんなも
ありがとおおおおおおお_(ˆ. ̫ . ˆ_)🔥✨

#みこなま",5989,566
1622568754671648768,2023-02-06_21:11:51,"ねおきでもかかってこいやと言えるみこ。
これが、強さの余裕。
みんな・・・・こい、みこがボコボコにしてやる。
いわゆるファンサってこと！？？？？ https://t.co/HIGvmDB8FY",4307,787
1622559271304200192,2023-02-06_20:34:10,"⚔このあと２１時からは⚔

/／
ソウルキャリバーⅥ
視聴者参加型🔥キャラクリ大会
\＼

今宵はどんなくせ者が現れるのか――⚔

寝起きキャリバーでもみこは
ボコボコにできる、女。

暫定１位を決めながらキャラクリ大会すっぞ🔥‼… https://t.co/fqbsYkNaHn",6570,1160
1622551855422398466,2023-02-06_20:04:42,"爆睡していた( ╹ᗜ╹)‼️⁉️
２１時からやる！！！！！！⚔",7507,697
1622221595589894145,2023-02-05_22:12:22,"ヒトカラ・・・思い出すなぁ、みこの学生時代。
よくサボッテいってたな。
みこの家みたなもんだった。
だから全然こわくねーよ。こ。、、、、こわくねーよ！！！！！！！！！！！！ https://t.co/nXWaeQbff6",4938,844
